,geometry,Hex_ID,Hex_Center_Lat,Hex_Center_Lon
0,"POLYGON ((19.458 -34.74739745962156, 19.558 -34.660794919243116, 19.558 -34.59739745962156, 19.458 -34.54739745962156, 19.357999999999997 -34.59739745962156, 19.357999999999997 -34.660794919243116, 19.458 -34.74739745962156))",hex_0_15,-34.6398287177892,19.458
1,"POLYGON ((19.657999999999998 -34.834, 19.758 -34.74739745962156, 19.758 -34.684000000000005, 19.657999999999998 -34.634, 19.557999999999996 -34.684000000000005, 19.557999999999996 -34.74739745962156, 19.657999999999998 -34.834))",hex_0_16,-34.726431258167636,19.657999999999998
2,"POLYGON ((19.857999999999997 -34.74739745962156, 19.958 -34.660794919243116, 19.958 -34.59739745962156, 19.857999999999997 -34.54739745962156, 19.757999999999996 -34.59739745962156, 19.757999999999996 -34.660794919243116, 19.857999999999997 -34.74739745962156))",hex_0_17,-34.6398287177892,19.857999999999997
3,"POLYGON ((20.058 -34.834, 20.158 -34.74739745962156, 20.158 -34.684000000000005, 20.058 -34.634, 19.958 -34.684000000000005, 19.958 -34.74739745962156, 20.058 -34.834))",hex_0_18,-34.726431258167636,20.058000000000003
4,"POLYGON ((20.258 -34.74739745962156, 20.358 -34.660794919243116, 20.358 -34.59739745962156, 20.258 -34.54739745962156, 20.157999999999998 -34.59739745962156, 20.157999999999998 -34.660794919243116, 20.258 -34.74739745962156))",hex_0_19,-34.6398287177892,20.258
5,"POLYGON ((19.058 -34.57419237886467, 19.158 -34.48758983848623, 19.158 -34.424192378864674, 19.058 -34.37419237886467, 18.958 -34.424192378864674, 18.958 -34.48758983848623, 19.058 -34.57419237886467))",hex_1_13,-34.4666236370323,19.058000000000003
6,"POLYGON ((19.258 -34.660794919243116, 19.358 -34.57419237886467, 19.358 -34.51079491924312, 19.258 -34.460794919243114, 19.157999999999998 -34.51079491924312, 19.157999999999998 -34.57419237886467, 19.258 -34.660794919243116))",hex_1_14,-34.55322617741074,19.258
7,"POLYGON ((19.458 -34.57419237886467, 19.558 -34.48758983848623, 19.558 -34.424192378864674, 19.458 -34.37419237886467, 19.357999999999997 -34.424192378864674, 19.357999999999997 -34.48758983848623, 19.458 -34.57419237886467))",hex_1_15,-34.4666236370323,19.458
8,"POLYGON ((19.657999999999998 -34.660794919243116, 19.758 -34.57419237886467, 19.758 -34.51079491924312, 19.657999999999998 -34.460794919243114, 19.557999999999996 -34.51079491924312, 19.557999999999996 -34.57419237886467, 19.657999999999998 -34.660794919243116))",hex_1_16,-34.55322617741074,19.657999999999998
9,"POLYGON ((19.857999999999997 -34.57419237886467, 19.958 -34.48758983848623, 19.958 -34.424192378864674, 19.857999999999997 -34.37419237886467, 19.757999999999996 -34.424192378864674, 19.757999999999996 -34.48758983848623, 19.857999999999997 -34.57419237886467))",hex_1_17,-34.4666236370323,19.857999999999997
10,"POLYGON ((20.058 -34.660794919243116, 20.158 -34.57419237886467, 20.158 -34.51079491924312, 20.058 -34.460794919243114, 19.958 -34.51079491924312, 19.958 -34.57419237886467, 20.058 -34.660794919243116))",hex_1_18,-34.55322617741074,20.058000000000003
11,"POLYGON ((20.258 -34.57419237886467, 20.358 -34.48758983848623, 20.358 -34.424192378864674, 20.258 -34.37419237886467, 20.157999999999998 -34.424192378864674, 20.157999999999998 -34.48758983848623, 20.258 -34.57419237886467))",hex_1_19,-34.4666236370323,20.258
12,"POLYGON ((20.458 -34.660794919243116, 20.558 -34.57419237886467, 20.558 -34.51079491924312, 20.458 -34.460794919243114, 20.357999999999997 -34.51079491924312, 20.357999999999997 -34.57419237886467, 20.458 -34.660794919243116))",hex_1_20,-34.55322617741074,20.458000000000002
13,"POLYGON ((20.657999999999998 -34.57419237886467, 20.758 -34.48758983848623, 20.758 -34.424192378864674, 20.657999999999998 -34.37419237886467, 20.557999999999996 -34.424192378864674, 20.557999999999996 -34.48758983848623, 20.657999999999998 -34.57419237886467))",hex_1_21,-34.4666236370323,20.658
14,"POLYGON ((20.857999999999997 -34.660794919243116, 20.958 -34.57419237886467, 20.958 -34.51079491924312, 20.857999999999997 -34.460794919243114, 20.757999999999996 -34.51079491924312, 20.757999999999996 -34.57419237886467, 20.857999999999997 -34.660794919243116))",hex_1_22,-34.55322617741074,20.857999999999997
15,"POLYGON ((21.458 -34.57419237886467, 21.558 -34.48758983848623, 21.558 -34.424192378864674, 21.458 -34.37419237886467, 21.357999999999997 -34.424192378864674, 21.357999999999997 -34.48758983848623, 21.458 -34.57419237886467))",hex_1_25,-34.4666236370323,21.458000000000002
16,"POLYGON ((18.458 -34.48758983848623, 18.558 -34.400987298107786, 18.558 -34.33758983848623, 18.458 -34.28758983848623, 18.357999999999997 -34.33758983848623, 18.357999999999997 -34.400987298107786, 18.458 -34.48758983848623))",hex_2_10,-34.38002109665386,18.458000000000002
17,"POLYGON ((18.857999999999997 -34.48758983848623, 18.958 -34.400987298107786, 18.958 -34.33758983848623, 18.857999999999997 -34.28758983848623, 18.757999999999996 -34.33758983848623, 18.757999999999996 -34.400987298107786, 18.857999999999997 -34.48758983848623))",hex_2_12,-34.38002109665386,18.857999999999997
18,"POLYGON ((19.058 -34.400987298107786, 19.158 -34.31438475772934, 19.158 -34.25098729810779, 19.058 -34.20098729810778, 18.958 -34.25098729810779, 18.958 -34.31438475772934, 19.058 -34.400987298107786))",hex_2_13,-34.29341855627543,19.058000000000003
